,SMILES
205,[H]C(F)=C(F)C(F)(Cl)Cl
206,[H]C(F)(Cl)C([H])(F)C(Cl)(Cl)Cl
207,[H]C(=C(F)F)C(F)(F)Cl
208,[H]C([H])(Cl)C([H])(Cl)C([H])(Cl)Cl
209,[H]C(F)(Cl)C([H])(F)C([H])(Cl)Cl
210,[H]C(Cl)(Cl)C(F)=C(Cl)Cl
211,[H]C([H])(F)C([H])([H])C(F)(F)Cl
212,[H]C(F)(Cl)C(F)(F)F
213,FC(F)(F)C(F)(Cl)C(F)(F)F
214,[H]C(Cl)(Cl)C(F)=C(F)Cl
215,[H]C(F)(F)C([H])(F)F
216,[H]C([H])=C(Cl)C(F)(F)F
217,[H]C([H])(Cl)C([H])([H])C(F)(F)F
218,[H]C([H])(Cl)C(F)(Cl)Cl
219,[H][H]
220,[H]C([H])([H])C([H])([H])C([H])(F)F
221,[H]C([H])([H])C([H])([H])C([H])([H])F
222,[H]C(F)=C(Cl)C([H])(F)F
223,[H]C([H])(Cl)C([H])([H])C([H])(F)Cl
224,[H]C([H])=C([H])[H]
225,[H]C(F)(Cl)C([H])(F)C(F)(F)F
226,[H]C(Cl)(Cl)C(F)(F)Cl
227,[H]C([H])(Cl)C(F)=C(F)Cl
228,[H]C(Cl)=C=C(F)F
229,[H]C(F)(F)C(Cl)(Cl)C(F)(F)F
230,[H]C([H])(F)C([H])([H])Cl
231,[H]C(F)(Cl)C(F)(F)C([H])(F)Cl
232,[H]C([H])([H])C([H])(F)C(F)(Cl)Cl
233,[H]C([H])(F)C([H])(F)F
234,[H]C([H])(Cl)C([H])(F)C([H])(Cl)Cl
235,[H]C([H])(F)C(F)(Cl)Cl
236,[H]C(F)(F)C([H])(Cl)C([H])(F)Cl
237,[H]C(F)(F)C([H])([H])C([H])(F)Cl
238,[H]C(F)=C(Cl)C(F)(Cl)Cl
239,[H]C([H])([H])C(F)(Cl)C([H])(F)F
240,[H]C(=C(F)F)C(F)(F)F
241,[H]C([H])(F)C(F)(F)C([H])([H])Cl
242,[H]C(F)(Cl)C(F)(Cl)Cl
243,[H]C(F)(F)C([H])(Cl)C(Cl)(Cl)Cl
244,[H]C(F)(F)C([H])([H])C([H])(F)F
245,[H]C(=C(F)Cl)C([H])(F)F
246,[H]C(F)(F)C([H])(Cl)C(F)(F)F
247,[H]C(F)(C(F)(F)F)C(F)(Cl)Cl
248,[H]C([H])(F)C(F)(Cl)C([H])(F)Cl
249,[H]C([H])([H])C([H])(F)C(Cl)(Cl)Cl
250,[H]C([H])([H])C(Cl)(Cl)C(F)(Cl)Cl
251,[H]C(F)=C(F)C([H])(Cl)Cl
252,[H]C([H])([H])C(F)(F)C(F)(Cl)Cl
253,[H]C(F)(Cl)C([H])([H])C(F)(F)Cl
254,[H]C([H])([H])C([H])(Cl)C([H])([H])Cl
255,[H]C([H])([H])C([H])(Cl)C(Cl)(Cl)Cl
256,[H]C([H])(C(F)(F)Cl)C(F)(Cl)Cl
257,[H]C([H])=C(Cl)C(F)(Cl)Cl
258,[H]C([H])(Cl)C(F)(F)C(F)(Cl)Cl
259,[H]C([H])(F)C(F)(F)C(Cl)(Cl)Cl
260,[H]C(F)(F)C(F)(F)C(F)(F)Cl
261,[H]C([H])(F)C(F)=C(F)F
262,[H]C(=C(F)Cl)C([H])([H])F
263,[H]C([H])=C([H])C(F)(Cl)Cl
264,[H]C([H])(C(F)(F)F)C(F)(Cl)Cl
265,[H]C(=C(F)Cl)C([H])([H])Cl
266,[H]C([H])=C([H])C([H])([H])[H]
267,[H]C(F)(Cl)C([H])([H])C(F)(Cl)Cl
268,[H]C([H])(Cl)C(Cl)(Cl)C([H])([H])Cl
269,[H]C([H])([H])C([H])([H])C([H])([H])Cl
